"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"238",1,1,0,0,0,1,43,4,0,3,0,0,51
"239",1,0,1,0,1,3,50,4,0,3,0.8,0,29
"240",0,1,1,0,0,3,23,2,0,2,0.8,18.1818181818182,43
"241",1,1,0,0,0,1,43,3,0,2,0.2,63.6363636363636,55
"242",0,1,1,0,0,3,41,3,0,2,0.6,72.7272727272727,31
"243",1,1,1,1,0,2,20,2,0,2,0.8,72.7272727272727,64
"244",0,0,1,0,1,1,20,3,0,2,0.8,0,53
"245",0,1,0,0,0,2,NA,3,0,2,0,18.1818181818182,68
"246",1,0,0,0,0,1,25,1,0,2,0.4,0,36
"247",1,1,0,1,0,1,30,2,0,NA,0,0,59
"248",0,1,0,0,0,1,30,4,0,3,0.4,9.09090909090909,66
"249",1,1,0,1,0,1,0,4,0,2,0,0,55
"250",0,1,0,0,0,1,41,4,0,3,0.2,90.9090909090909,44
"251",0,0,0,0,0,2,36,3,0,3,0.2,27.2727272727273,70
"252",1,1,0,0,0,2,23,3,0,2,0.4,18.1818181818182,59
"253",0,1,0,0,0,1,31,2,0,3,0.4,63.6363636363636,57
"254",0,1,1,0,0,1,8,3,0,2,0,36.3636363636364,36
"255",0,1,1,0,0,4,22,3,0,2,0.2,18.1818181818182,73
"256",0,0,1,0,0,2,10,3,0,2,0,18.1818181818182,46
"257",0,0,0,0,0,2,23,3,0,1,0.6,0,70
"258",1,1,0,0,0,2,NA,4,0,3,0.2,18.1818181818182,71
"259",0,0,0,0,0,2,42,2,0,2,0.6,27.2727272727273,19
"260",1,1,0,0,0,3,33,2,0,2,0.2,45.4545454545455,57
"261",0,0,0,0,0,2,68,3,0,2,0.4,27.2727272727273,72
"262",0,1,1,1,1,5,69,2,0,2,0.6,63.6363636363636,25
"263",1,1,1,0,1,1,29,3,0,3,0.6,81.8181818181818,40
"264",0,1,0,1,0,2,92,3,0,2,0.4,27.2727272727273,64
"265",0,1,0,1,0,1,25,3,0,3,0.8,0,35
"266",1,0,1,0,0,2,16,4,0,3,0.6,0,75
"267",0,1,1,0,0,1,21,3,0,3,0.6,9.09090909090909,69
"268",1,1,1,0,0,2,2,4,0,3,0.6,0,49
"269",1,0,0,0,0,1,40,2,0,2,0.8,9.09090909090909,48
"270",1,0,1,0,1,1,39,3,0,3,0.2,9.09090909090909,50
"271",1,0,0,1,0,1,35,4,0,3,0.8,0,40
"272",1,1,1,0,0,3,21,4,0,2,1,90.9090909090909,58
"273",1,1,0,0,0,1,87,3,0,2,0,18.1818181818182,67
"274",1,1,1,1,0,1,25,2,0,3,0,36.3636363636364,55
"275",1,1,1,1,0,2,34,4,0,2,0.6,81.8181818181818,65
"276",0,1,0,1,0,3,20,3,0,2,0.6,0,77
"277",0,0,0,0,0,1,12,3,0,3,0.2,0,22
"278",0,0,1,0,0,1,15,2,0,2,0.2,18.1818181818182,34
"279",1,0,1,0,1,1,14,3,0,2,0.4,0,42
"280",1,0,1,0,0,1,NA,3,0,2,0.4,0,48
"281",1,1,0,1,0,2,40,3,0,1,0.2,63.6363636363636,57
"282",1,1,1,1,0,1,23,2,0,3,0.6,0,46
"283",1,0,1,1,0,2,25,4,0,2,0,0,40
"284",0,1,1,1,0,1,1,3,0,3,0,0,33
"285",0,0,1,0,0,1,32,4,0,2,0.4,9.09090909090909,30
"286",0,0,0,1,0,1,18,2,0,2,0.2,45.4545454545455,33
"287",1,1,0,0,0,1,29,2,0,3,0,63.6363636363636,56
"288",0,1,1,1,1,3,18,3,0,3,0.4,54.5454545454545,65
"289",1,0,1,1,1,1,29,4,0,3,0.8,0,36
"290",1,0,0,0,0,1,35,2,0,2,0.6,0,63
"291",0,1,0,0,0,1,45,4,0,3,0.2,9.09090909090909,68
"292",1,1,1,0,0,2,25,4,1,2,0.8,18.1818181818182,75
"293",0,1,0,0,0,2,20,2,0,2,0.2,18.1818181818182,72
"294",0,0,1,0,0,1,14,3,0,3,0.6,0,76
"295",1,1,1,1,0,3,16,1,0,1,1,0,48
"296",0,0,1,0,0,1,22,2,0,2,1,0,29
"297",1,0,0,1,0,1,28,2,0,2,0.4,81.8181818181818,38
"298",1,0,0,0,0,1,9,2,0,2,0.4,63.6363636363636,28
"299",0,1,0,0,0,3,20,3,0,2,0.2,45.4545454545455,74
"300",1,1,1,1,0,3,12,2,0,3,0.2,0,60
"301",0,1,0,1,0,5,19,4,1,3,1,27.2727272727273,28
"302",1,0,1,0,0,1,30,3,0,2,0,0,48
"303",1,0,1,1,1,2,36,2,0,2,0.4,9.09090909090909,51
"304",1,0,1,1,0,3,12,3,0,1,0.2,72.7272727272727,46
"305",0,0,0,0,0,2,5,3,0,2,0.4,0,69
"306",1,1,0,0,0,2,20,3,0,2,0,9.09090909090909,76
"307",0,1,0,1,0,3,18,2,0,2,0.2,0,66
"308",0,1,0,0,0,2,11,1,0,2,0,90.9090909090909,36
"309",0,0,1,0,0,2,15,4,0,2,0.6,0,50
"310",1,1,0,0,0,1,35,2,0,3,0,90.9090909090909,54
"311",0,1,0,0,0,2,32,4,0,2,0.2,72.7272727272727,54
"312",0,1,1,1,0,1,19,2,0,3,0.6,0,64
"313",0,1,1,1,0,2,61,3,0,3,0.6,81.8181818181818,73
"314",1,0,0,1,0,2,35,2,0,1,0.4,18.1818181818182,72
"315",0,0,0,0,0,1,32,2,0,1,0.2,0,69
"316",1,1,1,1,1,1,NA,3,0,2,0.6,72.7272727272727,31
"317",0,0,1,0,0,1,14,1,0,2,0.2,0,56
"318",0,1,1,1,0,3,21,3,0,NA,0.4,0,71
"319",0,1,0,0,0,2,30,3,0,2,0,63.6363636363636,71
"320",1,1,0,0,0,2,56,3,0,2,0.4,0,69
"321",1,0,1,0,1,1,42,3,0,3,0.8,9.09090909090909,67
"322",0,1,1,1,0,1,38,2,0,2,0.2,9.09090909090909,67
"323",0,1,1,1,0,1,23,3,0,2,0,0,71
"324",1,1,1,0,0,3,20,3,0,1,0.6,0,43
"325",1,0,1,0,0,1,NA,3,0,1,0.2,0,32
"326",1,0,1,1,1,1,16,2,0,2,0.8,9.09090909090909,60
"327",0,1,1,1,0,1,46,3,0,2,0.4,9.09090909090909,74
"328",1,0,0,0,0,2,25,3,0,3,0.2,9.09090909090909,68
"329",0,0,1,1,0,2,13,3,0,3,0,9.09090909090909,31
"330",0,1,1,1,1,3,10,2,0,NA,0.8,9.09090909090909,65
"331",0,1,1,1,1,1,14,3,0,3,0.6,81.8181818181818,35
"332",0,0,1,1,0,4,35,4,1,2,0.8,36.3636363636364,74
"333",1,1,1,1,0,2,47,4,0,2,0.4,18.1818181818182,65
"334",1,1,0,0,0,2,34,3,0,2,0,18.1818181818182,49
"335",1,0,0,1,0,1,9,1,0,1,0.8,9.09090909090909,22
"336",1,1,1,0,0,2,37,3,0,3,0.2,NA,55
"337",1,1,1,1,0,4,20,3,0,2,0.6,45.4545454545455,69
"338",1,0,1,0,0,1,40,3,0,3,0.4,0,53
"339",0,0,1,0,0,2,10,1,0,2,0.2,27.2727272727273,27
"340",0,1,0,0,0,2,28,4,0,1,0.2,0,59
"341",0,1,0,1,0,5,14,2,0,2,0,0,66
"342",1,0,1,0,0,1,62,2,0,3,0.2,81.8181818181818,73
"343",1,0,1,0,0,1,40,4,0,2,0.6,0,41
"344",0,0,1,0,1,1,32,2,0,1,0.6,72.7272727272727,40
"345",1,0,0,0,0,3,35,3,0,3,0.2,0,69
"346",0,1,0,0,0,3,23,4,0,2,0.6,9.09090909090909,53
"347",1,1,0,0,0,2,16,3,0,3,0,63.6363636363636,61
"348",0,0,0,0,0,2,23,3,0,2,0.2,36.3636363636364,64
"349",1,0,0,0,0,1,NA,4,0,3,0.6,45.4545454545455,50
"350",1,0,1,0,0,1,19,2,0,3,0.4,45.4545454545455,42
"351",1,0,1,1,0,2,17,2,0,2,0.2,72.7272727272727,72
"352",1,1,0,0,0,2,34,4,0,3,0.4,45.4545454545455,60
"353",1,0,1,0,0,1,27,2,0,2,0.6,0,56
"354",1,1,1,0,0,5,NA,4,0,3,0,9.09090909090909,76
"355",1,1,0,0,0,3,64,3,0,3,0.2,18.1818181818182,66
"356",1,0,1,0,0,2,19,2,0,2,0.8,0,23
"357",0,1,1,1,1,2,6,2,0,2,1,18.1818181818182,52
"358",0,1,1,0,0,1,NA,3,0,2,0.6,0,35
"359",1,0,1,0,0,1,27,2,1,3,0.2,9.09090909090909,58
"360",1,1,0,0,0,1,56,4,0,3,0.4,72.7272727272727,49
"361",0,0,1,0,0,1,32,3,0,2,0,63.6363636363636,75
"362",0,1,1,1,0,1,8,3,0,2,0.6,0,76
"363",0,1,0,0,0,1,40,3,0,2,0.2,0,74
"364",1,1,1,0,0,1,17,3,0,3,1,45.4545454545455,67
"365",0,1,1,0,0,1,34,3,0,2,0.2,90.9090909090909,71
"366",1,1,0,0,0,3,33,4,0,2,0,81.8181818181818,75
"367",0,0,1,0,0,1,14,2,0,3,0.2,18.1818181818182,62
"368",1,0,0,0,0,3,40,2,0,1,0.4,36.3636363636364,49
"369",1,0,1,0,0,1,15,3,0,2,0.8,9.09090909090909,68
"370",1,1,1,0,0,5,3,4,0,2,0.8,63.6363636363636,64
"371",1,1,1,0,0,1,30,3,0,3,0.4,9.09090909090909,63
