"","female","married","worried_corona","inc_low","edu_high","foreign_born","inactive_worker","rent","age","far_right"
"483",0,0,3,0,0,0,0,0,58,36
"484",1,0,3,1,1,0,0,1,60,0
"485",0,0,3,0,1,0,0,1,44,9
"486",1,1,3,0,1,0,0,0,51,0
"487",1,1,2,0,1,0,1,1,75,73
"488",0,0,2,0,0,0,1,0,68,0
"489",1,0,2,0,0,0,0,0,44,9
"490",1,1,3,0,1,0,0,0,37,73
"491",1,1,2,0,1,0,1,0,74,0
"492",1,1,2,0,1,0,0,0,52,9
"493",1,0,3,0,1,0,0,1,57,0
"494",1,0,2,0,1,0,0,0,47,0
"495",0,1,3,0,1,0,0,0,34,55
"496",1,1,4,0,0,0,1,0,68,55
"497",1,0,4,0,1,0,0,0,46,0
"498",1,0,4,0,0,0,0,1,44,0
"499",0,1,2,0,1,0,0,0,31,9
"500",0,1,3,0,1,0,0,0,50,18
"501",0,1,3,0,0,0,1,0,72,0
"502",1,0,2,0,1,0,0,1,36,9
"503",1,1,3,0,0,0,1,0,61,82
"504",0,0,3,0,1,0,0,1,57,9
"505",1,1,4,1,1,0,0,1,23,0
"506",0,1,3,0,1,0,0,0,52,55
"507",0,1,3,0,0,0,0,0,50,0
"508",1,1,3,0,1,0,1,0,58,36
"509",0,1,3,0,1,0,0,0,35,36
"510",1,1,3,0,1,0,1,0,69,9
"511",1,1,3,0,1,0,0,0,45,9
"512",0,0,4,0,0,0,0,1,34,82
"513",1,0,2,0,1,0,1,0,68,0
"514",1,0,2,1,1,0,1,0,72,18
"515",0,0,2,0,0,0,1,1,39,0
"516",0,0,2,0,1,0,1,1,28,0
"517",0,1,2,0,0,0,0,0,46,73
"518",0,1,2,0,0,0,1,1,78,0
"519",1,1,3,0,1,0,0,0,37,0
"520",1,0,3,1,0,0,1,0,69,64
"521",1,0,3,1,0,0,0,1,55,0
"522",0,1,2,0,0,1,1,0,61,0
"523",1,0,4,0,1,0,1,0,79,9
"524",1,1,2,0,1,0,0,0,33,9
"525",0,1,3,0,1,0,0,0,35,55
"526",0,0,4,1,1,0,0,1,52,9
"527",0,1,2,0,1,0,1,0,71,0
"528",1,0,3,1,0,0,0,0,61,18
"529",1,1,2,1,1,0,1,0,42,0
"530",0,1,2,0,0,0,0,0,48,55
"531",0,0,2,0,1,0,0,1,29,36
"532",1,1,3,0,1,0,1,0,69,0
"533",1,0,3,1,1,0,1,1,21,36
"534",1,0,4,0,1,0,1,0,71,82
"535",1,1,3,1,1,0,0,0,39,NA
"536",1,0,3,1,0,0,1,1,35,91
"537",1,0,3,1,1,0,1,0,45,0
"538",0,1,3,0,0,0,0,0,57,73
"539",0,1,3,0,1,0,0,1,49,0
"540",1,1,3,0,1,0,0,0,32,91
"541",0,0,2,0,1,0,0,0,43,0
"542",0,1,4,0,0,0,0,1,36,18
"543",0,0,2,1,1,0,0,0,30,27
"544",1,1,2,0,1,0,0,0,41,0
"545",1,0,2,1,0,0,1,1,32,0
"546",1,1,4,0,1,0,0,1,56,0
"547",0,1,4,0,0,0,1,1,66,73
"548",0,0,3,0,0,0,0,0,33,91
"549",1,1,2,0,1,0,0,0,45,55
"550",1,0,4,0,1,0,0,0,50,0
"551",1,0,3,0,1,0,0,0,51,64
"552",1,1,2,0,1,0,0,1,48,9
"553",0,0,2,0,1,0,0,0,61,55
"554",1,1,3,0,0,0,1,0,60,9
"555",1,1,1,0,1,1,1,0,69,27
"556",1,0,4,0,1,0,0,0,48,0
"557",1,0,1,0,0,0,1,0,69,36
"558",1,0,4,0,0,0,0,0,58,82
"559",1,0,3,0,1,0,0,1,47,0
"560",0,1,4,0,0,0,1,0,76,45
"561",0,0,4,1,1,0,0,0,41,64
"562",1,0,3,1,0,0,0,1,53,64
"563",1,1,2,0,1,0,0,0,46,9
"564",1,1,3,0,1,0,0,0,51,45
"565",1,0,4,1,1,0,0,1,57,0
"566",1,1,3,0,1,0,0,0,48,0
"567",1,1,4,0,1,0,0,0,50,27
"568",0,0,3,0,0,0,0,0,50,9
"569",0,1,2,0,1,0,0,0,34,NA
"570",0,0,4,0,1,0,0,1,51,0
"571",1,0,3,0,1,0,1,1,22,0
"572",1,0,1,1,1,0,1,1,65,0
"573",0,0,2,0,1,0,1,0,73,0
"574",1,0,4,0,1,0,0,0,49,64
"575",0,0,2,0,1,0,0,0,49,0
"576",1,1,4,1,1,0,0,1,40,9
"577",0,0,3,0,0,0,0,1,60,9
"578",0,1,2,0,1,0,0,1,35,0
"579",1,0,2,1,1,0,0,0,57,9
"580",1,0,3,0,1,0,1,0,48,0
"581",1,1,3,1,0,0,0,1,35,45
"582",1,1,3,0,0,0,0,0,55,0
"583",0,1,3,0,1,0,1,0,76,0
"584",0,1,3,0,0,0,0,0,34,73
"585",1,1,4,0,1,0,1,0,72,55
"586",1,0,2,0,1,0,0,1,58,0
"587",1,0,4,1,0,0,1,1,31,64
"588",1,1,4,0,0,0,1,1,63,0
"589",0,0,2,1,1,0,1,1,38,36
"590",0,1,3,0,0,0,0,0,44,NA
"591",1,1,3,0,0,0,1,0,63,NA
"592",1,1,2,0,0,0,1,0,37,73
"593",0,1,2,0,0,0,0,1,60,36
"594",0,0,3,0,1,0,0,0,65,0
"595",0,0,3,1,0,0,0,0,49,27
"596",1,0,2,0,0,0,1,0,73,0
"597",1,1,4,0,1,0,1,0,67,9
"598",1,0,2,0,1,1,1,1,20,64
